Date,ConfirmedCases
11/20/20,9050597
11/21/20,9095806
11/22/20,9139865
11/23/20,9177840
11/24/20,9222216
11/25/20,9266705
11/26/20,9309787
11/27/20,9351109
11/28/20,9392919
11/29/20,9431691
11/30/20,9462809
12/01/20,9499413
12/02/20,9534964
12/03/20,9571559
12/04/20,9608211
12/05/20,9644222
12/06/20,9677203
12/07/20,9703770
12/08/20,9735850
12/09/20,9767371
12/10/20,9796744
12/11/20,9826775
12/12/20,9857029
12/13/20,9884100
12/14/20,9906165
12/15/20,9932547
12/16/20,9956557
12/17/20,9979447
12/18/20,10004599
12/19/20,10031223
12/20/20,10055560
12/21/20,10075116
12/22/20,10099066
12/23/20,10123778
12/24/20,10146845
12/25/20,10169118
12/26/20,10187850
12/27/20,10207871
12/28/20,10224303
12/29/20,10244852
12/30/20,10266674
12/31/20,10266674
01/01/21,10286709
01/02/21,10323965
01/03/21,10340469
01/04/21,10356844
01/05/21,10374932
01/06/21,10395278
01/07/21,10413417
01/08/21,10413417
01/09/21,10450284
01/10/21,10466595
01/11/21,10479179
01/12/21,10495147
01/13/21,10512093
01/14/21,10527683
01/15/21,10542841
01/16/21,10557985
01/17/21,10571773
01/18/21,10581823
01/19/21,10595639
01/20/21,10610883
01/21/21,10625428
01/22/21,10639684
01/23/21,10654533
01/24/21,10667736
01/25/21,10676838
01/26/21,10689527
01/27/21,10701193
01/28/21,10720048
01/29/21,10733130
01/30/21,10746174
01/31/21,10757610
02/01/21,10766245
02/02/21,10777284
02/03/21,10790183
02/04/21,10802591
02/05/21,10814304
02/06/21,10826363
02/07/21,10838194
02/08/21,10847304
02/09/21,10858371
02/10/21,10871294
02/11/21,10880603
02/12/21,10892746
02/13/21,10904940
02/14/21,10916589
02/15/21,10925710
02/16/21,10937320
02/17/21,10950201
02/18/21,10963394
02/19/21,10977387
02/20/21,10991651
02/21/21,11005850
02/22/21,11016434
02/23/21,11030176
02/24/21,11046914
02/25/21,11063491
02/26/21,11079979
02/27/21,11096731
02/28/21,11112241
03/01/21,11124527
03/02/21,11139516
03/03/21,11156923
03/04/21,11173761
03/05/21,11192045
03/06/21,11210799
03/07/21,11229398
03/08/21,11244786
03/09/21,11262707
03/10/21,11285561
03/11/21,11308846
03/12/21,11333728
03/13/21,11359048
03/14/21,11385339
03/15/21,11409831
03/16/21,11438734
03/17/21,11474605
03/18/21,11514331
03/19/21,11555284
03/20/21,11599130
03/21/21,11646081
03/22/21,11686796
03/23/21,11734058
03/24/21,11787534
03/25/21,11846652
03/26/21,11908910
03/27/21,11971624
03/28/21,12039644
03/29/21,12095855
03/30/21,12149335
03/31/21,12221665
04/01/21,12303131
04/02/21,12392260
04/03/21,12485509
04/04/21,12589067
04/05/21,12686049
04/06/21,12801785
04/07/21,12928574
04/08/21,13060542
04/09/21,13205926
04/10/21,13358805
04/11/21,13527717
04/12/21,13689453
04/13/21,13873825
04/14/21,14074564
04/15/21,14291917
04/16/21,14526609
04/17/21,14788003
04/18/21,15061805
04/19/21,15320972
04/20/21,15616130
04/21/21,15930774
04/22/21,16263695
04/23/21,16610481
04/24/21,16960172
04/25/21,17313163
04/26/21,17636186
04/27/21,17997113
04/28/21,18376421
04/29/21,18762976
04/30/21,19164969
05/01/21,19557457
05/02/21,19925517
05/03/21,20282833
05/04/21,20664979
05/05/21,21077410
05/06/21,21491598
05/07/21,21892676
05/08/21,22296081
05/09/21,22662575
05/10/21,22992517
05/11/21,23340938
05/12/21,23703665
05/13/21,24046809
05/14/21,24372907
05/15/21,24684077
05/16/21,24965463
05/17/21,25228996
05/18/21,25496330
05/19/21,25772440
05/20/21,26031991
05/21/21,26289290
05/22/21,26530132
05/23/21,26752447
05/24/21,26948874
05/25/21,27157795
05/26/21,27369093
05/27/21,27555457
05/28/21,27729247
